time,open,high,low,close,volume
1686562200000,26.6,26.61,26.6,26.6,1
1688981400000,47.51,47.51,47.5,47.51,1
1696239000000,30.71,30.72,30.71,30.71,1
1704187800000,72.78,72.78,72.77,72.78,1
1705915800000,43.87,43.88,43.87,43.87,1
1711359000000,200,200,199.99,200,1
1714383000000,101,101.01,101,101,1
1722245400000,183.7,183.7,183.69,183.7,1
1722850200000,102.4,102.41,102.4,102.4,1
1731922200000,543,543,542.99,543,1
1741599000000,231.51,231.52,231.51,231.51,1
1752485400000,457.22,457.22,457.21,457.22,1
1759743000000,365.21,365.21,365.2,365.21,1
1770024600000,104.17,104.18,104.17,104.17,1
1774863000000,116.4,116.41,116.4,116.4,1
