time,open,high,low,close,volume
1750662000,16.205,17.915,15.94,17.915,25417534
1752613200,18.405,19.7,17.76,18.75,43832887
1753653600,21.21,21.7,18.135,18.255,24374493
1754377200,18.315,19.5,17.8,19.445,15697045
1754895600,19.575,19.735,19.01,19.46,11988451
1756105200,20.7,20.92,19.64,19.71,14499641
1756969200,18.75,19.235,18.405,18.425,10694254
1758265200,18.485,20.1,18.42,19.315,19395568
1759734000,21.75,22.05,20.13,20.22,18514043
1760511600,20.22,21.75,19.78,21.55,20367027
1762335600,32.97,35.46,31.51,34.02,25510748
1762940400,34.3,36.54,33.14,33.28,25490505
1763717400,33.35,33.49,30.5,31.67,15696454
1764756600,32.29,34.4,30.91,34.27,22229425
1765275000,34.32,35.12,32.57,32.7,15436159
1766052000,32.9,33.2,29.57,29.82,19515834
1768518000,32.3,34.1,31.6,32.29,21801859
1770332400,29.34,29.92,20.9,22.76,69912818
1771541400,25,26.43,24.73,25.73,26327225
1773136200,22.01,23.04,21.65,22.33,16315527
1774991400,20.17,22.16,19.86,21.97,13046112
1776550200,21.95,24.35,21.71,23.89,15340662
1777587000,23.41,24.1,21.05,21.79,15005876
1777673400,21.95,24.1,21.05,21.79,15005876
1778482800,22.03,22.45,21.96,22.45,1944765
